"","n_comp","freq","threshold","sd","subj"
"281",3,"300",-2.75,1.27475488,"x36"
"282",1,"6100",3.25,1.11803399,"x36"
"283",9,"300",4.875,1.58607219,"x36"
"284",9,"6100",13,0,"x36"
"285",1,"300",-8.875,0.9437293,"x36"
"286",15,"6100",13,0,"x36"
"287",15,"300",0,1.76776695,"x36"
"288",5,"300",-4.25,1.19895788,"x36"
"289",5,"6100",13,0,"x36"
"290",3,"6100",13,0,"x36"
"291",5,"6100",13,0,"x36"
"292",1,"6100",-4.625,1.70018381,"x36"
"293",5,"300",-8.25,0.8291562,"x36"
"294",3,"300",-5.5,1.93649167,"x36"
"295",9,"300",-5.875,0.71807033,"x36"
"296",15,"6100",4.125,5.70224736,"x36"
"297",3,"6100",13,0,"x36"
"298",15,"300",-1.125,1.52581945,"x36"
"299",1,"300",-9.125,1.58607219,"x36"
"300",9,"6100",9.375,0.6731456,"x36"
"301",3,"300",-2,0.8291562,"x36"
"302",5,"6100",9.25,0.61237244,"x36"
"303",3,"6100",3.75,1.41421356,"x36"
"304",9,"300",-7.25,0.93541435,"x36"
"305",15,"6100",5.20833333,4.05024862,"x36"
"306",5,"300",-9.125,0.80039053,"x36"
"307",15,"300",-0.375,2.57694102,"x36"
"308",1,"300",-11.375,0.6731456,"x36"
"309",1,"6100",-3.375,2.42706098,"x36"
"310",9,"6100",13,0,"x36"
"311",3,"300",-2.125,0.9437293,"x36"
"312",3,"6100",2.5,1.3462912,"x36"
"313",3,"300",-7.75,0.61237244,"x38"
"314",9,"300",-1,1.29903811,"x38"
"315",5,"6100",3.375,0.80039053,"x38"
"316",5,"300",-6.625,0.9437293,"x38"
"317",9,"6100",13,0,"x38"
"318",1,"6100",4.125,0.80039053,"x38"
"319",15,"6100",13,0,"x38"
"320",1,"300",-13.75,0.75,"x38"
"321",15,"300",1,1.76776695,"x38"
"322",3,"6100",-4.25,0.8291562,"x38"
"323",5,"6100",8,0.61237244,"x38"
"324",9,"300",-12.25,0.8660254,"x38"
"325",3,"6100",-8.5,1.43614066,"x38"
"326",9,"6100",13,0,"x38"
"327",15,"300",-6.625,1.03832798,"x38"
"328",1,"300",-17.25,1.76776695,"x38"
"329",3,"300",-7,1.67705098,"x38"
"330",1,"6100",-2.375,2.42706098,"x38"
"331",5,"300",-7.5,1.27475488,"x38"
"332",15,"6100",6.25,1.82002747,"x38"
"333",9,"6100",13,0,"x38"
"334",5,"6100",-1.25,5.15388203,"x38"
"335",1,"300",-18.125,1.46308749,"x38"
"336",15,"6100",13,0,"x38"
"337",3,"300",-9.125,0.5153882,"x38"
"338",9,"300",-9.625,0.375,"x38"
"339",1,"6100",-3.75,0.55901699,"x38"
"340",5,"300",-10.375,1.28086885,"x38"
"341",3,"6100",-1.5,1.03077641,"x38"
"342",15,"300",-4.25,1.92028644,"x38"
"343",9,"6100",13,0,"x38"
"344",15,"6100",13,0,"x38"
"345",3,"300",-9.125,1.17924764,"x38"
"346",1,"300",-14.75,1.87082869,"x38"
"347",5,"300",-12.375,1.32876823,"x38"
"348",3,"6100",-0.625,1.875,"x38"
"349",9,"300",-8.875,1.28086885,"x38"
"350",5,"6100",8.75,0.8291562,"x38"
"351",15,"300",-8.25,1.27475488,"x38"
"352",1,"6100",-2.25,0.55901699,"x38"
"353",9,"300",-10.875,0.6731456,"x38"
"354",1,"300",-17.25,1.11803399,"x38"
"355",15,"6100",6.25,1.60078106,"x38"
"356",9,"6100",-3.125,3.04394892,"x38"
"357",3,"6100",3.125,1.125,"x38"
"358",3,"300",-3.625,1.875,"x38"
"359",15,"300",-7,0.96824584,"x38"
"360",5,"300",-7.75,1.5,"x38"
"361",1,"6100",-7.75,0.61237244,"x38"
"362",5,"6100",6.125,0.9437293,"x38"
"363",5,"300",-11.25,1.3462912,"x38"
"364",1,"300",-18.25,1.83711731,"x38"
"365",9,"6100",9.54166667,0.48769583,"x38"
"366",9,"300",-13.25,1.47901995,"x38"
"367",15,"6100",13,0,"x38"
"368",15,"300",-7,1.5612495,"x38"
"369",3,"6100",-5.375,2.09538183,"x38"
"370",3,"300",-9.25,0.61237244,"x38"
"371",1,"6100",-2.125,1.28086885,"x38"
"372",5,"6100",2.625,0.80039053,"x38"
"373",5,"300",-14.625,0.80039053,"x38"
"374",9,"300",-12.375,1.90804219,"x38"
"375",15,"300",-11.5,2.12132034,"x38"
"376",1,"300",-15.625,0.83852549,"x38"
"377",9,"6100",-3,1.6583124,"x38"
"378",1,"6100",-8.75,0.93541435,"x38"
"379",5,"6100",5.375,1.00778222,"x38"
"380",3,"6100",-1.75,2.33184476,"x38"
"381",15,"6100",13,0,"x38"
"382",3,"300",-6.625,0.375,"x38"
"383",3,"6100",-3,2.51246891,"x38"
"384",9,"6100",13,0,"x38"
"385",15,"300",-4.5,0.70710678,"x38"
"386",9,"300",-15.5,2.23606798,"x38"
"387",15,"6100",7.375,0.80039053,"x38"
"388",5,"6100",7.25,0.93541435,"x40"
"389",9,"6100",7.95833333,0.97271813,"x40"
"390",15,"300",-2.375,0.83852549,"x40"
"391",5,"300",1.5,1.47901995,"x40"
"392",15,"6100",8.45833333,0.85898034,"x40"
"393",1,"6100",-3.875,1.58607219,"x40"
"394",3,"300",-6,0.70710678,"x40"
"395",1,"300",-19.25,1.41421356,"x40"
"396",3,"6100",-2.75,0.55901699,"x40"
"397",9,"300",-7.5,1.27475488,"x40"
"398",9,"6100",13,0,"x40"
"399",15,"300",-3.75,0.8291562,"x40"
"400",5,"6100",6.375,0.91001374,"x40"
"401",15,"6100",8.875,0.9437293,"x40"
"402",3,"300",-9.625,1.77218086,"x40"
"403",3,"6100",-1.75,4.17582327,"x40"
"404",5,"300",-0.125,2.50312305,"x40"
"405",1,"300",-19.875,1.17924764,"x40"
"406",1,"6100",-8.625,1.32876823,"x40"
"407",9,"300",-1,2.07665597,"x40"
