Column1,n_comp,freq,threshold,sd,subj,task,run
94,3,Low,-5.875,1.66301684,x32,Control,6
106,3,Low,-9.625,1.66301684,x32,Control,7
116,3,Low,-7.5,2.43669859,x32,Control,8
124,3,Low,-4.75,0.8660254,x32,Control,9
137,3,Low,-8.0,1.3462912,x32,Control,10
141,3,Low,-8.625,0.80039053,x32,Control,11
158,3,Low,-6.125,0.80039053,x32,Control,12
49,3,High,-2.75,0.8291562,x32,Control,1
51,3,High,-2.375,1.17924764,x32,Control,2
61,3,High,-6.125,1.17924764,x32,Control,3
76,3,High,-2.75,3.28823661,x32,Control,4
90,3,High,-4.625,1.32876823,x32,Control,5
98,3,High,1.125,2.18303115,x32,Control,6
109,3,High,-4.25,2.1937411,x32,Control,7
111,3,High,0.5,0.61237244,x32,Control,8
129,3,High,0.625,0.6731456,x32,Control,9
134,3,High,-2.25,2.31840462,x32,Control,10
149,3,High,-1.25,2.31840462,x32,Control,11
160,3,High,-1.0,1.5612495,x32,Control,12
168,3,Low,-7.125,1.17924764,x34,Control,1
178,3,Low,-11.125,0.71807033,x34,Control,2
183,3,Low,-10.625,1.17924764,x34,Control,3
192,3,Low,-10.75,1.5612495,x34,Control,4
207,3,Low,-12.375,0.80039053,x34,Control,5
216,3,Low,-12.5,1.11803399,x34,Control,6
224,3,Low,-14.125,0.375,x34,Control,7
233,3,Low,-11.5,1.78535711,x34,Control,8
247,3,Low,-11.125,1.125,x34,Control,9
253,3,Low,-14.0,0.93541435,x34,Control,10
261,3,Low,-15.0,1.6583124,x34,Control,11
273,3,Low,-14.875,0.375,x34,Control,12
167,3,High,4.625,1.28086885,x34,Control,1
180,3,High,0.5,0.61237244,x34,Control,2
190,3,High,4.125,0.80039053,x34,Control,3
196,3,High,-5.125,2.23955911,x34,Control,4
206,3,High,1.125,1.09687055,x34,Control,5
214,3,High,-4.0,0.61237244,x34,Control,6
227,3,High,-1.375,0.71807033,x34,Control,7
235,3,High,0.375,1.39754249,x34,Control,8
245,3,High,3.0,1.03077641,x34,Control,9
258,3,High,1.625,2.40117159,x34,Control,10
269,3,High,-3.75,1.41421356,x34,Control,11
272,3,High,-0.75,1.03077641,x34,Control,12
287,3,Low,-6.0,0.70710678,x40,Control,1
295,3,Low,-9.625,1.77218086,x40,Control,2
307,3,Low,-15.625,1.66301684,x40,Control,3
313,3,Low,-12.0,1.11803399,x40,Control,4
325,3,Low,-15.625,1.875,x40,Control,5
334,3,Low,-10.125,0.80039053,x40,Control,6
349,3,Low,-9.375,2.64870251,x40,Control,7
357,3,Low,-8.625,1.17924764,x40,Control,8
362,3,Low,-3.375,1.90804219,x40,Control,9
376,3,Low,-13.0,1.5612495,x40,Control,10
388,3,Low,-9.125,2.00390244,x40,Control,11
395,3,Low,-6.375,1.46308749,x40,Control,12
289,3,High,-2.75,0.55901699,x40,Control,1
296,3,High,-1.75,4.17582327,x40,Control,2
304,3,High,-5.875,1.28086885,x40,Control,3
311,3,High,-2.625,1.00778222,x40,Control,4
327,3,High,-3.75,0.8291562,x40,Control,5
333,3,High,-9.625,0.71807033,x40,Control,6
343,3,High,0.875,1.125,x40,Control,7
356,3,High,-7.125,0.80039053,x40,Control,8
370,3,High,-5.0,1.03077641,x40,Control,9
