"","n_comp","freq","threshold","sd","subj","task"
"376",3,"High",13,0,"x45","Task"
"377",15,"High",-0.625,2.47802845,"x45","Task"
"378",5,"Low",-1.625,0.80039053,"x45","Task"
"379",9,"Low",-6.625,0.71807033,"x45","Task"
"380",5,"High",-1.625,2.98171511,"x45","Task"
"381",15,"High",13,0,"x45","Task"
"382",5,"High",13,0,"x45","Task"
"383",9,"High",13,0,"x45","Task"
"384",9,"Low",-7.125,1.00778222,"x45","Task"
"385",3,"High",-1.875,3.88305614,"x45","Task"
"386",15,"Low",-1.75,0.61237244,"x45","Task"
"387",3,"Low",-4.625,0.91001374,"x45","Task"
"388",5,"Low",-1.75,0.75,"x45","Task"
"389",9,"Low",-4.5,0.8291562,"x45","Task"
"390",15,"High",13,0,"x45","Task"
"391",3,"High",1.875,1.70018381,"x45","Task"
"392",5,"High",13,0,"x45","Task"
"393",9,"High",13,0,"x45","Task"
"394",5,"Low",-3.25,0.8660254,"x45","Task"
"395",15,"Low",-2,0.8291562,"x45","Task"
"396",3,"Low",-3,1.03077641,"x45","Task"
"397",5,"High",7.70833333,1.26997922,"x45","Task"
"398",9,"High",13,0,"x45","Task"
"399",3,"Low",-5.875,1.03832798,"x45","Task"
"400",5,"Low",-1.375,1.125,"x45","Task"
"401",15,"High",3.25,2.35849528,"x45","Task"
"402",9,"Low",-8.625,0.5153882,"x45","Task"
"403",15,"Low",-4.375,0.71807033,"x45","Task"
"404",3,"High",6.875,1.28086885,"x45","Task"
"405",5,"Low",-4.125,1.17924764,"x45","Task"
"406",5,"High",13,0,"x45","Task"
"407",9,"High",13,0,"x45","Task"
"408",15,"Low",-6.75,1.60078106,"x45","Task"
"409",15,"High",13,0,"x45","Task"
"410",9,"Low",-7.625,0.80039053,"x45","Task"
"411",3,"Low",-4.875,0.5153882,"x45","Task"
"412",3,"High",1.875,2.98171511,"x45","Task"
"413",3,"Low",-6.25,0.96824584,"x45","Task"
"414",5,"Low",-1.5,0.55901699,"x45","Task"
"415",5,"High",13,0,"x45","Task"
"416",15,"High",13,0,"x45","Task"
"417",9,"High",13,0,"x45","Task"
"418",15,"Low",-7.125,2.00390244,"x45","Task"
"419",9,"Low",-5,1.03077641,"x45","Task"
"420",3,"High",13,0,"x45","Task"
"421",3,"High",6.375,1.17924764,"x45","Task"
"422",5,"Low",-3,1.41421356,"x45","Task"
"423",15,"High",13,0,"x45","Task"
"424",3,"Low",-2.625,0.80039053,"x45","Task"
"425",15,"Low",-9.75,0.55901699,"x45","Task"
"426",9,"Low",-8,0.55901699,"x45","Task"
"427",5,"High",13,0,"x45","Task"
"428",9,"High",13,0,"x45","Task"
"429",9,"High",1.625,1.875,"x45","Task"
"430",5,"Low",-6.75,0.55901699,"x45","Task"
"431",15,"High",13,0,"x45","Task"
"432",9,"Low",-9.875,0.5153882,"x45","Task"
"433",15,"Low",-5.875,1.28086885,"x45","Task"
"434",5,"High",13,0,"x45","Task"
"435",3,"High",6.58333333,1.61158997,"x45","Task"
"436",3,"Low",-12.125,2.50312305,"x45","Task"
"437",9,"High",13,0,"x45","Task"
"438",15,"Low",-1.75,1.67705098,"x45","Task"
"439",3,"Low",-17.625,1.17924764,"x45","Task"
"440",5,"Low",-4.25,0.8291562,"x45","Task"
"441",9,"Low",-8.25,1.03077641,"x45","Task"
"442",15,"High",13,0,"x45","Task"
"443",3,"High",13,0,"x45","Task"
"444",5,"High",13,0,"x45","Task"
"445",5,"High",13,0,"x46","Task"
"446",15,"High",2.125,1.17924764,"x46","Task"
"447",9,"High",13,0,"x46","Task"
"448",9,"Low",1.375,2.13965535,"x46","Task"
"449",3,"High",13,0,"x46","Task"
"450",15,"Low",5.25,1.3462912,"x46","Task"
"451",3,"Low",0.25,0.96824584,"x46","Task"
"452",5,"Low",-2.875,1.82431494,"x46","Task"
"453",5,"High",13,0,"x46","Task"
"454",3,"High",2.75,4.3517238,"x46","Task"
"455",5,"Low",-4.875,2.05015243,"x46","Task"
"456",15,"High",13,0,"x46","Task"
"457",9,"High",13,0,"x46","Task"
"458",9,"Low",-0.75,1.5411035,"x46","Task"
"459",15,"Low",-0.875,0.80039053,"x46","Task"
"460",3,"Low",-3.125,1.00778222,"x46","Task"
"461",5,"Low",-10.25,3.53553391,"x46","Task"
"462",5,"High",13,0,"x46","Task"
"463",9,"Low",-4.875,0.5153882,"x46","Task"
"464",3,"Low",-7.625,2.95010593,"x46","Task"
"465",15,"High",13,0,"x46","Task"
"466",3,"High",8.25,2.23606798,"x46","Task"
"467",15,"Low",-4.25,1.5411035,"x46","Task"
"468",9,"High",6.125,6.28614548,"x46","Task"
"469",15,"Low",-0.125,0.6731456,"x46","Task"
"470",15,"High",6.25,3.52668399,"x46","Task"
"471",3,"High",5.125,2.09538183,"x46","Task"
"472",3,"Low",-12,0.8291562,"x46","Task"
"473",5,"High",7.375,2.64870251,"x46","Task"
"474",9,"Low",-5.375,2.09538183,"x46","Task"
"475",9,"High",6.25,2.35849528,"x46","Task"
"476",5,"Low",-7.25,0.55901699,"x46","Task"
"477",15,"Low",-2.5,1.06066017,"x46","Task"
"478",5,"High",5.20833333,2.57963445,"x46","Task"
"479",9,"High",7.625,1.66301684,"x46","Task"
"480",9,"Low",-7.25,1.11803399,"x46","Task"
"481",15,"High",8.875,0.71807033,"x46","Task"
"482",3,"Low",-1.625,1.09687055,"x46","Task"
"483",3,"High",4.875,3.16474723,"x46","Task"
"484",5,"Low",-1.5,0.93541435,"x46","Task"
"485",15,"Low",0.875,0.375,"x46","Task"
"486",5,"Low",-8.625,1.17924764,"x46","Task"
"487",5,"High",4.875,5.35169366,"x46","Task"
"488",15,"High",-3.75,1.82002747,"x46","Task"
"489",9,"Low",-1.25,1.41421356,"x46","Task"
"490",9,"High",13,0,"x46","Task"
"491",3,"Low",-10.75,1.43614066,"x46","Task"
"492",3,"High",3.08333333,4.51309822,"x46","Task"
"493",15,"High",3.83333333,4.74268443,"x46","Task"
"494",3,"High",13,0,"x46","Task"
"495",9,"Low",-4.375,1.125,"x46","Task"
"496",15,"Low",-5,2.31840462,"x46","Task"
"497",5,"Low",-12.5,1.11803399,"x46","Task"
"498",3,"Low",-5.375,1.00778222,"x46","Task"
"499",9,"High",13,0,"x46","Task"
"500",5,"High",13,0,"x46","Task"
"501",15,"Low",-1.75,0.96824584,"x46","Task"
"502",9,"High",13,0,"x46","Task"
"503",5,"Low",-5.5,0.61237244,"x46","Task"
"504",3,"Low",-9.875,0.80039053,"x46","Task"
"505",9,"Low",-8.875,1.20545635,"x46","Task"
"506",5,"High",13,0,"x46","Task"
"507",15,"High",13,0,"x46","Task"
"508",3,"High",13,0,"x46","Task"
"509",9,"High",13,0,"x46","Task"
"510",5,"Low",-5.125,0.71807033,"x46","Task"
"511",3,"High",13,0,"x46","Task"
"512",9,"Low",-4.875,1.17924764,"x46","Task"
"513",15,"Low",-6.75,1.03077641,"x46","Task"
"514",15,"High",13,0,"x46","Task"
"515",5,"High",13,0,"x46","Task"
"516",3,"Low",-12.125,1.80710404,"x46","Task"
"517",3,"Low",-5.625,0.5153882,"x46","Task"
"518",9,"Low",-4.5,1.19895788,"x46","Task"
"519",5,"Low",-8.75,1.82002747,"x46","Task"
"520",15,"High",13,0,"x46","Task"
"521",3,"High",13,0,"x46","Task"
"522",9,"High",13,0,"x46","Task"
"523",15,"Low",-3.625,2.40117159,"x46","Task"
"524",5,"High",13,0,"x46","Task"
"525",15,"Low",-4.75,1.14564392,"x46","Task"
"526",5,"Low",-7.875,1.00778222,"x46","Task"
"527",15,"High",13,0,"x46","Task"
"528",3,"Low",-7.875,0.80039053,"x46","Task"
"529",9,"High",13,0,"x46","Task"
"530",9,"Low",-6.125,1.46308749,"x46","Task"
"531",5,"High",13,0,"x46","Task"
"532",3,"High",13,0,"x46","Task"
"533",15,"High",13,0,"x46","Task"
"534",9,"Low",-5.25,0.93541435,"x46","Task"
"535",15,"Low",-2.625,1.58607219,"x46","Task"
"536",3,"Low",-9,0.93541435,"x46","Task"
"537",9,"High",13,0,"x46","Task"
"538",5,"High",13,0,"x46","Task"
"539",3,"High",6,3.28823661,"x46","Task"
"540",5,"Low",-8.5,0.61237244,"x46","Task"
"541",3,"High",13,0,"x49","Task"
"542",15,"Low",7.625,1.875,"x49","Task"
"543",5,"High",13,0,"x49","Task"
"544",15,"High",13,0,"x49","Task"
"545",9,"Low",4.875,0.5153882,"x49","Task"
"546",3,"Low",6.875,1.70018381,"x49","Task"
"547",5,"Low",-2.5,0.8660254,"x49","Task"
"548",9,"High",13,0,"x49","Task"
"549",15,"Low",1,3.79143772,"x49","Task"
"550",9,"High",13,0,"x49","Task"
"551",5,"High",13,0,"x49","Task"
"552",9,"Low",-3.25,1.62018517,"x49","Task"
"553",3,"High",13,0,"x49","Task"
"554",3,"Low",-1.625,0.80039053,"x49","Task"
"555",15,"High",13,0,"x49","Task"
"556",5,"Low",-3.5,1.11803399,"x49","Task"
"557",9,"High",13,0,"x49","Task"
"558",3,"High",13,0,"x49","Task"
"559",5,"High",13,0,"x49","Task"
"560",15,"Low",-4.875,3.16474723,"x49","Task"
"561",3,"Low",0.875,1.60565407,"x49","Task"
"562",5,"Low",4.125,0.5153882,"x49","Task"
"563",9,"Low",-1.125,1.95655948,"x49","Task"
"564",15,"High",13,0,"x49","Task"
"565",9,"Low",-4,1.5612495,"x49","Task"
"566",15,"Low",-6.75,2.23606798,"x49","Task"
"567",15,"High",13,0,"x49","Task"
"568",3,"Low",-5.875,0.71807033,"x49","Task"
"569",9,"High",2.95833333,5.32958853,"x49","Task"
"570",5,"High",13,0,"x49","Task"
"571",5,"Low",0.125,2.23955911,"x49","Task"
"572",3,"High",13,0,"x49","Task"
"573",5,"High",13,0,"x49","Task"
"574",9,"Low",0.625,0.80039053,"x49","Task"
"575",3,"Low",-3.5,1.3462912,"x49","Task"
"576",15,"Low",0,5.20816666,"x49","Task"
"577",9,"High",13,0,"x49","Task"
"578",5,"Low",-5.875,1.28086885,"x49","Task"
"579",3,"High",0.625,7.66587405,"x49","Task"
"580",15,"High",13,0,"x49","Task"
"581",3,"Low",-5.875,0.375,"x49","Task"
"582",15,"Low",-2,1.60078106,"x49","Task"
"583",5,"High",13,0,"x49","Task"
"584",5,"Low",-3.25,1.83711731,"x49","Task"
"585",3,"High",1.75,3.61420807,"x49","Task"
"586",9,"High",13,0,"x49","Task"
"587",9,"Low",-5.625,1.80710404,"x49","Task"
"588",15,"High",13,0,"x49","Task"
"589",3,"High",13,0,"x49","Task"
"590",9,"High",13,0,"x49","Task"
"591",15,"Low",0,0.55901699,"x49","Task"
"592",15,"High",13,0,"x49","Task"
"593",9,"Low",-4.125,0.80039053,"x49","Task"
"594",5,"High",13,0,"x49","Task"
"595",3,"Low",-2.5,1.5612495,"x49","Task"
"596",5,"Low",-4.75,1.14564392,"x49","Task"
"597",15,"High",13,0,"x49","Task"
"598",9,"High",13,0,"x49","Task"
"599",5,"Low",-5.125,1.03832798,"x49","Task"
