"","freq","threshold","sd","subj","task"
"244","Low",-13.66666667,2.13437475,"x38","Control"
"245","Low",-14.33333333,1.79505494,"x38","Control"
"246","High",-10.33333333,1.79505494,"x38","Control"
"247","High",-6.66666667,2.49443826,"x38","Control"
"248","Low",-15,1.91485422,"x38","Control"
"249","Low",-12.66666667,1.49071198,"x38","Control"
"250","High",-12.33333333,2.13437475,"x38","Control"
"251","High",-5,3.41565026,"x38","Control"
"252","Low",-15.33333333,2.21108319,"x38","Control"
"253","Low",-11.66666667,1.37436854,"x39","Control"
"254","High",-11,1.91485422,"x39","Control"
"255","High",-11,2.51661148,"x39","Control"
"256","Low",-13.33333333,1.49071198,"x39","Control"
"257","Low",-15,2.51661148,"x39","Control"
"258","High",-9,1,"x39","Control"
"259","Low",-14.66666667,1.49071198,"x39","Control"
"260","High",-8.66666667,1.49071198,"x39","Control"
"261","Low",-11.33333333,1.49071198,"x39","Control"
"262","High",-10,2.82842712,"x39","Control"
"263","Low",-14.33333333,2.13437475,"x39","Control"
"264","High",-10.66666667,1.49071198,"x39","Control"
"265","Low",-12.33333333,2.92498813,"x41","Control"
"266","High",-6.33333333,1.37436854,"x41","Control"
"267","Low",-14,1.63299316,"x41","Control"
"268","High",-13.66666667,2.13437475,"x41","Control"
"269","High",-17,1,"x41","Control"
"270","Low",-15,1,"x41","Control"
"271","High",-13.66666667,2.13437475,"x41","Control"
"272","Low",-13,1,"x41","Control"
"273","Low",-14.66666667,1.49071198,"x41","Control"
"274","High",-16.66666667,1.49071198,"x41","Control"
"275","High",-16.33333333,1.37436854,"x41","Control"
"276","Low",-15.33333333,1.49071198,"x41","Control"
"277","Low",0,0,"x43","Control"
"278","High",0,0,"x43","Control"
"279","High",0,0,"x43","Control"
"280","Low",0,0,"x43","Control"
"281","Low",0,0,"x43","Control"
"282","High",0,0,"x43","Control"
"283","High",0,0,"x43","Control"
"284","Low",0,0,"x43","Control"
"285","High",0,0,"x43","Control"
"286","Low",0,0,"x43","Control"
"287","High",0,0,"x43","Control"
"288","Low",0,0,"x43","Control"
"289","Low",-11.33333333,1.49071198,"x01","Task"
"290","High",-13,1.91485422,"x01","Task"
"291","Low",-12,3.82970843,"x01","Task"
"292","High",-9,1.91485422,"x01","Task"
"293","Low",-12,2,"x01","Task"
"294","High",-4.33333333,2.13437475,"x01","Task"
"295","Low",-11.33333333,2.49443826,"x01","Task"
"296","High",-9,3.41565026,"x01","Task"
"297","Low",-12,2.30940108,"x01","Task"
"298","High",-6.66666667,4.5704364,"x01","Task"
"299","High",-4.33333333,2.13437475,"x01","Task"
"300","Low",-11.33333333,2.21108319,"x01","Task"
