Column1,n_comp,freq,threshold,sd,subj,task,run
626,9,High,3.625,2.98171511,x46,Control,11
633,9,High,9.625,0.375,x46,Control,12
710,9,Low,-7.625,1.09687055,x49,Control,7
713,9,Low,-7.25,1.76776695,x49,Control,8
730,9,Low,-6.75,1.6583124,x49,Control,9
731,9,Low,-3.375,0.6731456,x49,Control,10
748,9,Low,-8.5,0.75,x49,Control,11
758,9,Low,-8.875,1.03832798,x49,Control,12
702,9,High,0.125,3.8910956,x49,Control,7
711,9,High,-4.75,1.78535711,x49,Control,8
725,9,High,13.0,0.0,x49,Control,9
736,9,High,8.25,1.6583124,x49,Control,10
747,9,High,6.625,3.65932029,x49,Control,11
751,9,High,13.0,0.0,x49,Control,12
828,9,Low,2.0,3.06186218,x50,Control,7
837,9,Low,-4.875,0.80039053,x50,Control,8
849,9,Low,-4.75,2.33184476,x50,Control,9
860,9,Low,-2.25,1.96850197,x50,Control,10
863,9,Low,-4.75,2.25,x50,Control,11
880,9,Low,-8.75,0.93541435,x50,Control,12
826,9,High,9.625,0.375,x50,Control,7
836,9,High,7.75,0.8660254,x50,Control,8
848,9,High,13.0,0.0,x50,Control,9
857,9,High,3.5,1.5612495,x50,Control,10
869,9,High,3.875,5.24553381,x50,Control,11
876,9,High,-3.25,1.43614066,x50,Control,12
941,9,Low,-9.5,0.93541435,x51,Control,7
953,9,Low,0.5,0.96824584,x51,Control,8
961,9,Low,-4.625,0.6731456,x51,Control,9
973,9,Low,-5.75,2.58602011,x51,Control,10
986,9,Low,-1.125,0.80039053,x51,Control,11
996,9,Low,-4.625,1.17924764,x51,Control,12
949,9,High,8.08333333,1.33593496,x51,Control,7
955,9,High,0.5,1.06066017,x51,Control,8
962,9,High,5.75,0.96824584,x51,Control,9
979,9,High,8.25,1.11803399,x51,Control,10
990,9,High,13.0,0.0,x51,Control,11
999,9,High,4.125,3.9071249,x51,Control,12
1065,9,Low,-9.25,0.96824584,x52,Control,7
1076,9,Low,-13.875,0.80039053,x52,Control,8
1085,9,Low,-9.75,0.8291562,x52,Control,9
1098,9,Low,-11.0,0.55901699,x52,Control,10
1104,9,Low,-11.75,1.3462912,x52,Control,11
1115,9,Low,-8.75,0.93541435,x52,Control,12
1066,9,High,13.0,0.0,x52,Control,7
1079,9,High,3.25,4.99374609,x52,Control,8
1083,9,High,13.0,0.0,x52,Control,9
1092,9,High,6.25,2.6925824,x52,Control,10
1103,9,High,-3.625,2.69548233,x52,Control,11
1117,9,High,2.0,1.22474487,x52,Control,12
1188,9,Low,-4.375,2.15421099,x53,Control,7
1197,9,Low,-7.125,2.64870251,x53,Control,8
1207,9,Low,-7.5,0.93541435,x53,Control,9
1212,9,Low,-10.5,1.76776695,x53,Control,10
1222,9,Low,-11.75,1.6583124,x53,Control,11
1239,9,Low,-8.875,2.32177195,x53,Control,12
1190,9,High,13.0,0.0,x53,Control,7
1193,9,High,13.0,0.0,x53,Control,8
1206,9,High,13.0,0.0,x53,Control,9
1211,9,High,13.0,0.0,x53,Control,10
1221,9,High,13.0,0.0,x53,Control,11
1240,9,High,0.25,2.01556444,x53,Control,12
1306,9,Low,-13.25,0.8291562,x54,Control,7
1317,9,Low,-15.5,2.31840462,x54,Control,8
1322,9,Low,-14.5,0.75,x54,Control,9
1331,9,Low,-11.625,1.32876823,x54,Control,10
1348,9,Low,-14.0,0.93541435,x54,Control,11
1353,9,Low,-16.875,1.80710404,x54,Control,12
1303,9,High,13.0,0.0,x54,Control,7
1316,9,High,7.25,1.3462912,x54,Control,8
1321,9,High,13.0,0.0,x54,Control,9
1338,9,High,13.0,0.0,x54,Control,10
1343,9,High,13.0,0.0,x54,Control,11
1359,9,High,-3.25,5.23211238,x54,Control,12
110,15,Low,-1.375,1.28086885,x32,Control,7
118,15,Low,0.125,1.28086885,x32,Control,8
125,15,Low,-2.375,2.42706098,x32,Control,9
132,15,Low,-3.875,1.17924764,x32,Control,10
144,15,Low,-1.0,0.75,x32,Control,11
159,15,Low,3.0,0.93541435,x32,Control,12
103,15,High,13.0,0.0,x32,Control,7
117,15,High,13.0,0.0,x32,Control,8
121,15,High,2.875,3.10493559,x32,Control,9
133,15,High,8.125,0.71807033,x32,Control,10
143,15,High,7.625,0.375,x32,Control,11
152,15,High,13.0,0.0,x32,Control,12
230,15,Low,-2.125,1.28086885,x34,Control,7
231,15,Low,-3.75,1.47901995,x34,Control,8
246,15,Low,-4.875,1.95655948,x34,Control,9
256,15,Low,-5.25,1.47901995,x34,Control,10
262,15,Low,-1.125,1.00778222,x34,Control,11
275,15,Low,-3.375,0.5153882,x34,Control,12
226,15,High,9.375,0.5153882,x34,Control,7
236,15,High,13.0,0.0,x34,Control,8
243,15,High,4.5,2.1937411,x34,Control,9
260,15,High,6.83333333,2.26231199,x34,Control,10
