Column1,n_comp,freq,threshold,sd,subj,task,order
441,9,Low,13.0,0.0,x33,Task,1
442,9,High,13.0,0.0,x33,Task,1
443,9,Low,13.0,0.0,x33,Task,1
444,9,High,13.0,0.0,x33,Task,1
445,9,High,13.0,0.0,x34,Task,1
446,9,Low,7.04166667,2.16706727,x34,Task,1
447,9,Low,-10.375,1.28086885,x34,Task,1
448,9,High,13.0,0.0,x34,Task,1
449,9,High,13.0,0.0,x34,Task,1
450,9,Low,-10.625,0.5153882,x34,Task,1
451,9,Low,-9.625,0.375,x34,Task,1
452,9,High,8.5,0.55901699,x34,Task,1
453,9,High,1.0,0.93541435,x34,Task,1
454,9,Low,-10.875,0.5153882,x34,Task,1
455,9,High,13.0,0.0,x34,Task,1
456,9,Low,-9.625,0.9437293,x34,Task,1
457,9,High,13.0,0.0,x36,Task,2
458,9,Low,13.0,0.0,x36,Task,2
459,9,High,13.0,0.0,x36,Task,2
460,9,Low,13.0,0.0,x36,Task,2
461,9,Low,13.0,0.0,x36,Task,2
462,9,High,13.0,0.0,x36,Task,2
463,9,High,13.0,0.0,x36,Task,2
464,9,Low,7.75,2.31840462,x36,Task,2
465,9,High,13.0,0.0,x36,Task,2
466,9,Low,13.0,0.0,x36,Task,2
467,9,High,13.0,0.0,x36,Task,2
468,9,Low,2.5,5.06211418,x36,Task,2
469,9,Low,7.58333333,1.91847741,x37,Task,2
470,9,High,5.20833333,2.98404321,x37,Task,2
471,9,Low,8.125,1.41972709,x37,Task,2
472,9,High,13.0,0.0,x37,Task,2
473,9,High,13.0,0.0,x37,Task,2
474,9,Low,4.5,0.93541435,x37,Task,2
475,9,High,-1.0,0.61237244,x37,Task,2
476,9,Low,-0.875,1.00778222,x37,Task,2
477,9,Low,-3.375,1.58607219,x37,Task,2
478,9,High,13.0,0.0,x37,Task,2
479,9,High,13.0,0.0,x37,Task,2
480,9,Low,-2.75,1.03077641,x37,Task,2
481,9,High,13.0,0.0,x39,Task,1
482,9,Low,13.0,0.0,x39,Task,1
483,9,Low,1.375,1.70018381,x39,Task,1
484,9,High,13.0,0.0,x39,Task,1
485,9,High,13.0,0.0,x39,Task,1
486,9,Low,0.875,1.03832798,x39,Task,1
487,9,High,13.0,0.0,x39,Task,1
488,9,Low,0.25,0.75,x39,Task,1
489,9,High,13.0,0.0,x39,Task,1
490,9,Low,1.5,1.6583124,x39,Task,1
491,9,High,6.75,3.51781182,x39,Task,1
492,9,Low,-3.375,1.25623445,x39,Task,1
